,image_id,street,citi,bed,bath,sqft,price
0,0,1,"Salton City, CA",3,2.0,1560,201900
1,1,1,"Brawley, CA",3,2.0,713,228500
2,2,1,"Imperial, CA",3,1.0,800,273950
3,3,2,"Brawley, CA",3,1.0,1082,350000
4,4,1,"Calexico, CA",4,3.0,2547,385100
5,5,2,"Brawley, CA",3,1.0,1082,350000
6,6,1,"Calexico, CA",4,3.0,2769,415000
7,7,2,"Brawley, CA",5,2.1,2600,545000
8,8,2,"Brawley, CA",5,2.1,2600,545000
9,9,1,"Salton City, CA",4,5.1,3932,690000
10,10,1,"Gorman, CA",3,2.1,4044,1350000
11,11,2,"Frazier Park, CA",5,5.1,6247,1499000
12,12,1,"Rosamond, CA",2,2.0,2466,1488000
13,13,2,"Kernville, CA",3,2.0,2686,995000
14,14,1,"Rosamond, CA",1,1.0,1048,2000000
15,15,2,"Frazier Park, CA",5,5.1,6247,1499000
16,16,1,"Frazier Park, CA",3,3.1,4597,1550000
17,17,1,"Frazier Park, CA",8,3.1,4236,1850000
18,18,1,"Tehachapi, CA",4,1.1,1980,1995000
19,19,2,"Tehachapi, CA",4,2.1,1967,249950
20,20,1,"Arvin, CA",4,2.0,1573,205000
21,21,2,"California City, CA",5,3.0,2065,249000
22,22,1,"Bakersfield, CA",3,2.0,1087,195000
23,23,1,"Frazier Park, CA",3,2.0,1400,229000
24,24,1,"California City, CA",3,2.0,1533,229000
25,25,1,"Bakersfield, CA",2,1.0,966,239900
26,26,1,"Frazier Park, CA",3,2.1,1760,235000
27,27,1,"Bakersfield, CA",3,2.0,1478,239900
28,28,1,"Bakersfield, CA",4,3.0,1876,240000
29,29,1,"Bakersfield, CA",3,2.0,1820,239990
30,30,1,"Bakersfield, CA",3,2.0,1873,219000
31,31,1,"Rosamond, CA",3,2.0,1265,220000
32,32,1,"Delano, CA",3,1.0,1364,199500
33,33,1,"Bakersfield, CA",3,2.0,1004,224990
34,34,2,"Tehachapi, CA",4,3.1,3648,249000
35,35,2,"Bakersfield, CA",3,2.1,1608,250000
36,36,1,"Rosamond, CA",3,2.0,1504,225000
37,37,2,"Rosamond, CA",3,2.0,1425,255000
38,38,1,"California City, CA",5,3.0,2190,234900
39,39,2,"Rosamond, CA",3,2.0,1500,245000
40,40,1,"California City, CA",3,2.0,1410,198000
41,41,1,"Lebec, CA",3,2.0,1152,199900
42,42,1,"Pine Mountain Club, CA",3,2.0,1440,235000
43,43,1,"Frazier Park, CA",2,2.0,1008,216500
44,44,1,"California City, CA",3,2.0,1562,225000
45,45,1,"Pine Mountain Club, CA",2,1.0,974,210000
46,46,1,"Frazier Park, CA",3,1.1,1440,219000
47,47,1,"Frazier Park, CA",2,1.0,896,198500
48,48,1,"Bakersfield, CA",4,3.0,1848,219900
49,49,2,"Pine Mountain Club, CA",2,2.0,1378,249000
