,image_id,street,citi,bed,bath,sqft,price,predicted_price
0,0,1,"Salton City, CA",3,2.0,1560,201900,845698.2
1,1,1,"Brawley, CA",3,2.0,713,228500,605672.94
2,2,1,"Imperial, CA",3,1.0,800,273950,554283.6
3,3,2,"Brawley, CA",3,1.0,1082,350000,561338.6
4,4,1,"Calexico, CA",4,3.0,2547,385100,1187580.6
5,5,2,"Brawley, CA",3,1.0,1082,350000,559613.7
6,6,1,"Calexico, CA",4,3.0,2769,415000,582206.9
7,7,2,"Brawley, CA",5,2.1,2600,545000,574803.4
8,8,2,"Brawley, CA",5,2.1,2600,545000,573804.4
9,9,1,"Salton City, CA",4,5.1,3932,690000,586959.0
10,10,1,"Gorman, CA",3,2.1,4044,1350000,521741.06
11,11,2,"Frazier Park, CA",5,5.1,6247,1499000,496095.97
12,12,1,"Rosamond, CA",2,2.0,2466,1488000,782295.6
13,13,2,"Kernville, CA",3,2.0,2686,995000,609480.94
14,14,1,"Rosamond, CA",1,1.0,1048,2000000,379855.28
15,15,2,"Frazier Park, CA",5,5.1,6247,1499000,492574.03
16,16,1,"Frazier Park, CA",3,3.1,4597,1550000,602338.2
17,17,1,"Frazier Park, CA",8,3.1,4236,1850000,1084109.5
18,18,1,"Tehachapi, CA",4,1.1,1980,1995000,531154.8
19,19,2,"Tehachapi, CA",4,2.1,1967,249950,683590.7
20,20,1,"Arvin, CA",4,2.0,1573,205000,882066.4
21,21,2,"California City, CA",5,3.0,2065,249000,1223731.5
22,22,1,"Bakersfield, CA",3,2.0,1087,195000,542525.25
23,23,1,"Frazier Park, CA",3,2.0,1400,229000,592029.4
24,24,1,"California City, CA",3,2.0,1533,229000,432358.4
25,25,1,"Bakersfield, CA",2,1.0,966,239900,483546.12
26,26,1,"Frazier Park, CA",3,2.1,1760,235000,520964.9
27,27,1,"Bakersfield, CA",3,2.0,1478,239900,557320.1
28,28,1,"Bakersfield, CA",4,3.0,1876,240000,876588.0
29,29,1,"Bakersfield, CA",3,2.0,1820,239990,500398.72
30,30,1,"Bakersfield, CA",3,2.0,1873,219000,501109.75
31,31,1,"Rosamond, CA",3,2.0,1265,220000,1113990.2
32,32,1,"Delano, CA",3,1.0,1364,199500,750818.06
33,33,1,"Bakersfield, CA",3,2.0,1004,224990,475854.78
34,34,2,"Tehachapi, CA",4,3.1,3648,249000,2910359.0
35,35,2,"Bakersfield, CA",3,2.1,1608,250000,471684.47
36,36,1,"Rosamond, CA",3,2.0,1504,225000,504710.47
37,37,2,"Rosamond, CA",3,2.0,1425,255000,468050.66
38,38,1,"California City, CA",5,3.0,2190,234900,556079.4
39,39,2,"Rosamond, CA",3,2.0,1500,245000,1100451.2
40,40,1,"California City, CA",3,2.0,1410,198000,583910.75
41,41,1,"Lebec, CA",3,2.0,1152,199900,515652.1
42,42,1,"Pine Mountain Club, CA",3,2.0,1440,235000,476422.34
43,43,1,"Frazier Park, CA",2,2.0,1008,216500,670777.0
44,44,1,"California City, CA",3,2.0,1562,225000,607709.1
45,45,1,"Pine Mountain Club, CA",2,1.0,974,210000,518318.4
46,46,1,"Frazier Park, CA",3,1.1,1440,219000,930273.25
47,47,1,"Frazier Park, CA",2,1.0,896,198500,658825.1
48,48,1,"Bakersfield, CA",4,3.0,1848,219900,534530.8
49,49,2,"Pine Mountain Club, CA",2,2.0,1378,249000,594668.1
50,50,1,"Tehachapi, CA",4,2.0,1421,229900,491390.34
51,51,1,"Rosamond, CA",3,2.0,1222,216000,518438.8
52,52,1,"Rosamond, CA",2,2.0,956,230000,447987.53
53,53,2,"Tehachapi, CA",3,2.0,1320,249000,524872.75
54,54,2,"Rosamond, CA",3,2.0,1484,255000,558785.94
55,55,1,"Bakersfield, CA",3,2.0,1499,233000,820662.0
56,56,1,"California City, CA",3,2.0,1422,195000,561077.7
57,57,1,"Pine Mountain Club, CA",3,2.1,1152,238000,1380387.5
58,58,1,"California City, CA",3,2.0,1774,230000,516711.0
59,59,1,"Pine Mountain Club, CA",3,2.0,1584,219000,501861.22
60,60,1,"Pine Mountain Club, CA",4,2.0,1368,239900,508502.56
61,61,1,"Bakersfield, CA",3,2.0,1268,234900,944091.5
62,62,2,"Tehachapi, CA",4,2.0,1888,255000,580165.3
63,63,1,"California City, CA",3,2.0,1877,199000,641033.06
64,64,1,"Frazier Park, CA",3,2.0,1290,237500,577527.06
65,65,1,"Pine Mountain Club, CA",2,2.0,949,209750,558694.9
66,66,1,"Tehachapi, CA",3,2.0,1402,239000,488566.34
67,67,1,"Bakersfield, CA",3,2.0,1242,200000,552822.0
68,68,2,"Tehachapi, CA",3,3.0,2354,249000,643807.0
69,69,2,"Pine Mountain Club, CA",3,2.2,1426,249000,509781.6
70,70,1,"California City, CA",4,2.0,1775,195000,684876.5
71,71,1,"Pine Mountain Club, CA",3,2.0,952,199000,574394.4
72,72,1,"Bakersfield, CA",5,2.0,1953,235000,530614.1
73,73,1,"Bakersfield, CA",3,2.0,1527,209900,490569.6
74,74,1,"Rosamond, CA",2,2.0,956,213900,450292.97
75,75,1,"Pine Mountain Club, CA",3,2.0,1542,220000,560382.4
76,76,2,"Bakersfield, CA",3,2.0,1411,250000,943715.0
77,77,1,"Bakersfield, CA",3,2.0,1448,230000,606972.1
78,78,2,"Frazier Park, CA",2,2.0,1536,245000,942164.0
79,79,1,"Bakersfield, CA",2,1.0,991,219900,662845.1
80,80,2,"California City, CA",3,2.0,1400,249000,490325.5
81,81,2,"Frazier Park, CA",3,2.0,1380,249900,536098.4
82,82,1,"Pine Mountain Club, CA",2,1.0,783,195000,565943.44
83,83,1,"Inyokern, CA",2,1.0,1100,230000,435534.9
84,84,1,"California City, CA",3,2.0,1729,210000,517330.9
85,85,1,"California City, CA",3,2.0,1945,199950,552960.75
86,86,1,"Pine Mountain Club, CA",4,2.0,1632,239000,516970.66
87,87,2,"Pine Mountain Club, CA",3,2.0,1792,299000,640144.75
88,88,2,"Tehachapi, CA",4,2.1,1967,249950,644251.44
89,89,1,"Rosamond, CA",3,2.0,1433,260000,925321.25
90,90,1,"Tehachapi, CA",3,2.0,2435,284900,538290.6
91,91,2,"California City, CA",5,3.0,2065,249000,1230067.5
92,92,1,"Bakersfield, CA",3,2.1,1838,265000,561381.75
93,93,1,"Bakersfield, CA",3,2.0,1683,290000,732250.6
94,94,1,"Rosamond, CA",5,2.0,1837,260000,628254.25
95,95,1,"Rosamond, CA",3,2.0,1630,259900,521083.66
96,96,1,"Frazier Park, CA",3,2.0,1198,280000,513565.22
97,97,1,"Tehachapi, CA",3,2.0,1512,274999,457346.4
98,98,1,"Bakersfield, CA",3,2.0,1515,275000,637556.56
99,99,1,"California City, CA",4,2.1,1996,269669,609116.9
100,100,2,"Tehachapi, CA",4,3.1,3648,249000,2940068.2
101,101,1,"Bakersfield, CA",3,2.0,1316,275000,527495.75
102,102,2,"Bakersfield, CA",3,2.1,1608,250000,505312.25
103,103,2,"Bakersfield, CA",5,2.1,2228,299000,458188.4
104,104,1,"Pine Mountain Club, CA",3,2.0,1800,270000,530898.4
